Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1491944400.0 1003.0 NA 281 0 NA NA NA NA NA NA 379 0 NA NA NA NA NA NA 2259 213 NA NA NA NA NA NA 895 223 NA NA NA NA NA
1491944400.0 10042.0 NA 205 516 99 0 NA NA NA NA 324 671 153 0 NA NA NA NA 475 2460 106 745 NA NA NA NA 358 2386 144 751 NA NA NA
1491944400.0 10224.0 NA 298 767 0 NA NA NA NA NA 451 975 0 NA NA NA NA NA 3667 5185 917 NA NA NA NA NA 2893 3940 927 NA NA NA NA
1491944400.0 10225.0 NA 279 741 0 NA NA NA NA NA 482 961 0 NA NA NA NA NA 3038 4685 889 NA NA NA NA NA 3644 4942 903 NA NA NA NA
1491944400.0 103.0 34 0 0 NA NA NA NA NA 94 0 0 NA NA NA NA NA 321 89 222 NA NA NA NA NA 327 98 248 NA NA NA NA NA
1491944400.0 10424.0 NA 221 526 0 NA NA NA NA NA 331 682 0 NA NA NA NA NA 502 2768 802 NA NA NA NA NA 649 2707 810 NA NA NA NA
1491944400.0 106.0 39 0 0 NA NA NA NA NA 94 0 0 NA NA NA NA NA 324 84 217 NA NA NA NA NA 330 91 226 NA NA NA NA NA
1491944400.0 107.0 81 92 396 NA NA NA NA NA 181 220 494 NA NA NA NA NA 3450 298 511 NA NA NA NA NA 1217 192 441 NA NA NA NA NA
1491944400.0 108.0 81 96 407 NA NA NA NA NA 179 220 497 NA NA NA NA NA 4190 312 524 NA NA NA NA NA 1420 195 406 NA NA NA NA NA
1491944400.0 10823.0 71 183 517 87 0 NA NA NA 129 325 679 141 0 NA NA NA 1492 418 2296 93 752 NA NA NA 813 420 2262 214 760 NA NA NA
1491944400.0 10824.0 74 214 538 92 0 NA NA NA 140 350 691 152 0 NA NA NA 4250 594 2597 112 840 NA NA NA 1474 395 2370 147 940 NA NA NA
1491944400.0 10825.0 70 220 525 90 0 NA NA NA 136 327 683 141 0 NA NA NA 3299 547 2666 102 854 NA NA NA 1189 388 2678 147 884 NA NA NA
1491944400.0 10826.0 76 197 NA NA NA NA NA NA 143 337 NA NA NA NA NA NA 5671 424 NA NA NA NA NA NA 2162 333 NA NA NA NA NA NA
1491944400.0 10842.0 56 186 512 100 0 NA NA NA 119 312 668 152 0 NA NA NA 1003 319 2165 105 736 NA NA NA 915 309 2166 133 743 NA NA NA
1491944400.0 11.0 NA 95 428 0 61 NA NA NA NA 219 539 0 112 NA NA NA NA 1441 750 386 21 NA NA NA NA 481 491 426 22 NA NA NA
1491944400.0 110.0 60 84 384 NA NA NA NA NA 120 214 487 NA NA NA NA NA 656 263 405 NA NA NA NA NA 421 184 374 NA NA NA NA NA
1491944400.0 1102.0 NA 99 399 124 64 NA NA NA NA 232 500 205 131 NA NA NA NA 1617 2070 1184 94 NA NA NA NA 583 800 424 59 NA NA NA
1491944400.0 11224.0 74 224 537 0 NA NA NA NA 140 348 686 0 NA NA NA NA 4172 656 2745 854 NA NA NA NA 1561 496 2638 865 NA NA NA NA
1491944400.0 115.0 86 88 398 NA NA NA NA NA 183 217 501 NA NA NA NA NA 3290 302 521 NA NA NA NA NA 1347 197 416 NA NA NA NA NA
1491944400.0 120.0 54 81 385 NA NA NA NA NA 123 206 499 NA NA NA NA NA 584 275 380 NA NA NA NA NA 386 177 363 NA NA NA NA NA
1491944400.0 121.0 77 98 402 NA NA NA NA NA 181 217 507 NA NA NA NA NA 3876 323 579 NA NA NA NA NA 1365 204 436 NA NA NA NA NA
1491944400.0 122.0 52 77 377 NA NA NA NA NA 121 208 498 NA NA NA NA NA 640 184 384 NA NA NA NA NA 485 163 366 NA NA NA NA NA
1491944400.0 126.0 59 85 381 NA NA NA NA NA 125 216 496 NA NA NA NA NA 1137 259 448 NA NA NA NA NA 553 172 405 NA NA NA NA NA
1491944400.0 127.0 54 78 394 NA NA NA NA NA 125 208 506 NA NA NA NA NA 980 253 401 NA NA NA NA NA 492 172 380 NA NA NA NA NA
1491944400.0 128.0 52 84 384 NA NA NA NA NA 118 210 490 NA NA NA NA NA 562 260 409 NA NA NA NA NA 386 166 396 NA NA NA NA NA
1491944400.0 129.0 51 84 394 NA NA NA NA NA 114 215 492 NA NA NA NA NA 573 245 398 NA NA NA NA NA 380 171 378 NA NA NA NA NA
1491944400.0 13.0 NA 91 392 0 NA NA NA NA NA 217 498 0 NA NA NA NA NA 239 684 334 NA NA NA NA NA 191 440 340 NA NA NA NA
1491944400.0 130.0 53 82 382 NA NA NA NA NA 116 221 485 NA NA NA NA NA 643 262 407 NA NA NA NA NA 412 164 387 NA NA NA NA NA
1491944400.0 1302.0 86 187 195 NA NA NA NA NA 155 323 293 NA NA NA NA NA 3505 672 439 NA NA NA NA NA 1294 427 332 NA NA NA NA NA
1491944400.0 1303.0 85 188 201 NA NA NA NA NA 154 310 285 NA NA NA NA NA 7002 562 626 NA NA NA NA NA 2452 390 363 NA NA NA NA NA
1491944400.0 1306.0 NA 185 473 0 NA NA NA NA NA 315 583 0 NA NA NA NA NA 367 519 656 NA NA NA NA NA 293 522 672 NA NA NA NA
1491944400.0 1307.0 NA 163 198 54 0 NA NA NA NA 315 282 105 0 NA NA NA NA 391 380 24 211 NA NA NA NA 312 376 26 225 NA NA NA
1491944400.0 1308.0 NA 164 196 54 0 NA NA NA NA 302 280 104 0 NA NA NA NA 369 302 22 212 NA NA NA NA 306 319 26 219 NA NA NA
1491944400.0 1309.0 NA 204 491 0 NA NA NA NA NA 357 603 0 NA NA NA NA NA 522 758 687 NA NA NA NA NA 347 586 694 NA NA NA NA
1491944400.0 131.0 55 82 386 NA NA NA NA NA 123 205 495 NA NA NA NA NA 1111 266 427 NA NA NA NA NA 540 178 388 NA NA NA NA NA
1491944400.0 1310.0 NA 199 493 0 NA NA NA NA NA 351 600 0 NA NA NA NA NA 450 680 698 NA NA NA NA NA 324 581 709 NA NA NA NA
1491944400.0 1311.0 NA 189 468 0 69 NA NA NA NA 302 599 0 121 NA NA NA NA 375 532 680 48 NA NA NA NA 310 522 693 78 NA NA NA
1491944400.0 1312.0 NA 196 478 0 NA NA NA NA NA 335 590 0 NA NA NA NA NA 463 667 670 NA NA NA NA NA 354 551 683 NA NA NA NA
1491944400.0 1313.0 NA 202 480 0 NA NA NA NA NA 344 595 0 NA NA NA NA NA 507 1026 684 NA NA NA NA NA 360 676 703 NA NA NA NA
1491944400.0 1314.0 NA 200 479 0 NA NA NA NA NA 323 593 0 NA NA NA NA NA 448 630 694 NA NA NA NA NA 521 562 703 NA NA NA NA
1491944400.0 1315.0 NA 187 469 0 NA NA NA NA NA 308 581 0 NA NA NA NA NA 426 520 633 NA NA NA NA NA 333 498 643 NA NA NA NA
1491944400.0 1316.0 NA 190 473 0 NA NA NA NA NA 322 584 0 NA NA NA NA NA 415 570 646 NA NA NA NA NA 334 532 659 NA NA NA NA
1491944400.0 1317.0 NA 193 468 0 NA NA NA NA NA 304 584 0 NA NA NA NA NA 395 527 614 NA NA NA NA NA 309 522 622 NA NA NA NA
1491944400.0 1319.0 NA 182 469 0 NA NA NA NA NA 326 582 0 NA NA NA NA NA 399 554 650 NA NA NA NA NA 516 548 672 NA NA NA NA
1491944400.0 1322.0 NA 181 476 0 NA NA NA NA NA 338 589 0 NA NA NA NA NA 413 567 646 NA NA NA NA NA 317 529 656 NA NA NA NA
1491944400.0 1323.0 NA 174 472 0 NA NA NA NA NA 334 582 0 NA NA NA NA NA 381 494 652 NA NA NA NA NA 298 497 673 NA NA NA NA
1491944400.0 1324.0 NA 215 486 0 NA NA NA NA NA 333 599 0 NA NA NA NA NA 477 686 674 NA NA NA NA NA 346 574 683 NA NA NA NA
1491944400.0 1325.0 NA 209 494 0 78 NA NA NA NA 353 606 0 137 NA NA NA NA 515 740 718 85 NA NA NA NA 353 777 731 122 NA NA NA
1491944400.0 1325.1 NA 199 271 0 NA NA NA NA NA 347 361 0 NA NA NA NA NA 523 331 272 NA NA NA NA NA 362 265 284 NA NA NA NA
1491944400.0 1325.2 NA 202 489 0 NA NA NA NA NA 352 602 0 NA NA NA NA NA 510 751 688 NA NA NA NA NA 349 571 713 NA NA NA NA
1491944400.0 1325.3 NA 215 259 0 NA NA NA NA NA 335 347 0 NA NA NA NA NA 551 334 269 NA NA NA NA NA 408 283 288 NA NA NA NA
1491944400.0 1325.4 NA 212 480 0 NA NA NA NA NA 350 600 0 NA NA NA NA NA 513 767 682 NA NA NA NA NA 362 603 689 NA NA NA NA
1491944400.0 1329.0 NA 195 472 0 NA NA NA NA NA 343 596 0 NA NA NA NA NA 434 586 671 NA NA NA NA NA 318 521 677 NA NA NA NA
1491944400.0 1331.0 NA 184 476 0 NA NA NA NA NA 342 597 0 NA NA NA NA NA 399 596 678 NA NA NA NA NA 319 546 687 NA NA NA NA
1491944400.0 1333.0 NA 190 472 0 NA NA NA NA NA 325 584 0 NA NA NA NA NA 383 581 679 NA NA NA NA NA 333 525 694 NA NA NA NA
1491944400.0 1339.0 NA 208 493 0 NA NA NA NA NA 349 602 0 NA NA NA NA NA 592 890 697 NA NA NA NA NA 365 598 710 NA NA NA NA
1491944400.0 134.704 NA 37 386 0 NA NA NA NA NA 100 482 0 NA NA NA NA NA 116 3998 302 NA NA NA NA NA 79 1586 309 NA NA NA NA
1491944400.0 134.71 NA 32 388 0 NA NA NA NA NA 97 488 0 NA NA NA NA NA 91 2604 284 NA NA NA NA NA 64 1021 299 NA NA NA NA
1491944400.0 134.801 NA 35 389 0 NA NA NA NA NA 100 481 0 NA NA NA NA NA 100 2701 269 NA NA NA NA NA 66 1017 275 NA NA NA NA
1491944400.0 134.802 NA 35 398 0 NA NA NA NA NA 101 498 0 NA NA NA NA NA 132 5098 294 NA NA NA NA NA 84 1652 310 NA NA NA NA
1491944400.0 134.804 NA 31 401 0 NA NA NA NA NA 104 495 0 NA NA NA NA NA 139 5063 294 NA NA NA NA NA 102 1617 300 NA NA NA NA
1491944400.0 134.806 NA 32 405 0 NA NA NA NA NA 103 496 0 NA NA NA NA NA 142 5549 294 NA NA NA NA NA 101 1755 301 NA NA NA NA
1491944400.0 134.807 NA 82 430 0 NA NA NA NA NA 176 541 0 NA NA NA NA NA 521 5297 318 NA NA NA NA NA 326 1775 325 NA NA NA NA
1491944400.0 134.808 NA 89 429 0 NA NA NA NA NA 176 556 0 NA NA NA NA NA 494 5513 307 NA NA NA NA NA 555 1879 317 NA NA NA NA
1491944400.0 134.809 NA 35 394 0 NA NA NA NA NA 103 487 0 NA NA NA NA NA 148 4726 298 NA NA NA NA NA 104 1549 308 NA NA NA NA
1491944400.0 134.81 NA 35 396 0 NA NA NA NA NA 98 490 0 NA NA NA NA NA 146 4806 305 NA NA NA NA NA 95 1588 312 NA NA NA NA
1491944400.0 134.811 NA 37 400 0 NA NA NA NA NA 106 497 0 NA NA NA NA NA 136 5082 297 NA NA NA NA NA 86 1632 304 NA NA NA NA
1491944400.0 134.901 NA 34 393 0 NA NA NA NA NA 98 488 0 NA NA NA NA NA 105 2745 274 NA NA NA NA NA 76 1023 280 NA NA NA NA
1491944400.0 134.907 NA 88 423 0 NA NA NA NA NA 171 526 0 NA NA NA NA NA 422 3782 284 NA NA NA NA NA 247 1308 290 NA NA NA NA
1491944400.0 134.908 NA 84 414 0 NA NA NA NA NA 174 527 0 NA NA NA NA NA 331 3796 303 NA NA NA NA NA 235 1341 312 NA NA NA NA
1491944400.0 134.912 NA 33 383 0 NA NA NA NA NA 99 478 0 NA NA NA NA NA 109 2653 288 NA NA NA NA NA 76 1023 309 NA NA NA NA
1491944400.0 134.99601 NA 37 398 0 NA NA NA NA NA 103 513 0 NA NA NA NA NA 148 5560 294 NA NA NA NA NA 101 1762 300 NA NA NA NA
1491944400.0 134.99603 NA 36 393 0 NA NA NA NA NA 102 506 0 NA NA NA NA NA 131 4640 304 NA NA NA NA NA 88 1557 309 NA NA NA NA
1491944400.0 134.99901 NA 37 389 0 NA NA NA NA NA 102 487 0 NA NA NA NA NA 108 3192 280 NA NA NA NA NA 75 1407 286 NA NA NA NA
1491944400.0 1340.0 NA 188 475 0 NA NA NA NA NA 323 584 0 NA NA NA NA NA 393 569 670 NA NA NA NA NA 305 530 692 NA NA NA NA
1491944400.0 1341.0 NA 208 497 0 NA NA NA NA NA 349 604 0 NA NA NA NA NA 534 909 730 NA NA NA NA NA 365 642 742 NA NA NA NA
1491944400.0 1344.0 NA 209 483 0 NA NA NA NA NA 329 589 0 NA NA NA NA NA 478 719 707 NA NA NA NA NA 335 585 718 NA NA NA NA
1491944400.0 1347.0 NA 207 481 0 NA NA NA NA NA 320 585 0 NA NA NA NA NA 434 621 678 NA NA NA NA NA 324 541 688 NA NA NA NA
1491944400.0 135.1 348 0 107 NA NA NA NA NA 484 0 167 NA NA NA NA NA 630 124 138 NA NA NA NA NA 580 133 132 NA NA NA NA NA
1491944400.0 135.11 352 0 111 NA NA NA NA NA 480 0 170 NA NA NA NA NA 829 143 203 NA NA NA NA NA 476 161 157 NA NA NA NA NA
1491944400.0 135.12 341 0 102 NA NA NA NA NA 470 0 161 NA NA NA NA NA 554 118 127 NA NA NA NA NA 399 125 138 NA NA NA NA NA
1491944400.0 135.13 407 0 NA NA NA NA NA NA 510 0 NA NA NA NA NA NA 659 291 NA NA NA NA NA NA 639 302 NA NA NA NA NA NA
1491944400.0 135.2 302 0 95 NA NA NA NA NA 437 0 163 NA NA NA NA NA 485 92 110 NA NA NA NA NA 380 96 131 NA NA NA NA NA
1491944400.0 135.3 305 0 104 NA NA NA NA NA 443 0 163 NA NA NA NA NA 480 89 114 NA NA NA NA NA 366 105 157 NA NA NA NA NA
1491944400.0 135.4 334 0 105 NA NA NA NA NA 465 0 166 NA NA NA NA NA 573 122 122 NA NA NA NA NA 413 136 129 NA NA NA NA NA
1491944400.0 135.5 356 0 105 NA NA NA NA NA 457 0 165 NA NA NA NA NA 539 120 118 NA NA NA NA NA 374 141 189 NA NA NA NA NA
1491944400.0 135.6 348 0 107 NA NA NA NA NA 477 0 166 NA NA NA NA NA 607 127 137 NA NA NA NA NA 441 131 155 NA NA NA NA NA
1491944400.0 135.7 339 0 98 NA NA NA NA NA 473 0 165 NA NA NA NA NA 552 115 121 NA NA NA NA NA 408 132 127 NA NA NA NA NA
1491944400.0 135.9 316 0 94 NA NA NA NA NA 443 0 162 NA NA NA NA NA 439 100 104 NA NA NA NA NA 403 104 126 NA NA NA NA NA
1491944400.0 1353.0 NA 206 478 0 NA NA NA NA NA 322 593 0 NA NA NA NA NA 469 678 703 NA NA NA NA NA 328 563 715 NA NA NA NA
1491944400.0 1354.0 NA 195 480 0 NA NA NA NA NA 342 602 0 NA NA NA NA NA 431 594 674 NA NA NA NA NA 314 520 681 NA NA NA NA
1491944400.0 1356.0 89 209 489 0 110 NA NA NA 150 319 588 0 175 NA NA NA 2874 471 747 756 159 NA NA NA 1344 351 672 769 181 NA NA NA
1491944400.0 136.721 NA 200 429 0 NA NA NA NA NA 302 525 0 NA NA NA NA NA 2551 5575 429 NA NA NA NA NA 1221 1875 435 NA NA NA NA
1491944400.0 136.722 NA 195 452 0 NA NA NA NA NA 316 552 0 NA NA NA NA NA 2702 6235 451 NA NA NA NA NA 885 2239 463 NA NA NA NA
1491944400.0 136.723 NA 188 427 0 NA NA NA NA NA 306 526 0 NA NA NA NA NA 2259 5546 437 NA NA NA NA NA 988 1857 443 NA NA NA NA
1491944400.0 136.724 NA 196 442 0 NA NA NA NA NA 322 537 0 NA NA NA NA NA 3235 6739 442 NA NA NA NA NA 1000 2158 448 NA NA NA NA
1491944400.0 136.725 NA 195 442 0 NA NA NA NA NA 307 554 0 NA NA NA NA NA 2467 6136 432 NA NA NA NA NA 827 2029 437 NA NA NA NA
1491944400.0 136.726 NA 195 438 0 NA NA NA NA NA 311 537 0 NA NA NA NA NA 2899 6236 441 NA NA NA NA NA 948 2035 447 NA NA NA NA
1491944400.0 136.727 NA 238 442 0 NA NA NA NA NA 367 573 0 NA NA NA NA NA 7751 6349 461 NA NA NA NA NA 6296 2421 468 NA NA NA NA
1491944400.0 136.728 NA 222 453 0 NA NA NA NA NA 358 557 0 NA NA NA NA NA 3280 6858 471 NA NA NA NA NA 1356 2409 484 NA NA NA NA
1491944400.0 136.729 NA 196 437 0 NA NA NA NA NA 309 535 0 NA NA NA NA NA 2546 6097 437 NA NA NA NA NA 864 1991 449 NA NA NA NA
1491944400.0 136.73 NA 203 454 0 NA NA NA NA NA 313 566 0 NA NA NA NA NA 3186 6650 538 NA NA NA NA NA 1316 2222 741 NA NA NA NA
1491944400.0 136.731 NA 209 445 0 NA NA NA NA NA 315 537 0 NA NA NA NA NA 2672 6222 433 NA NA NA NA NA 848 2003 441 NA NA NA NA
1491944400.0 136.732 NA 184 419 0 NA NA NA NA NA 307 520 0 NA NA NA NA NA 1641 4616 442 NA NA NA NA NA 612 1608 466 NA NA NA NA
1491944400.0 136.7321 NA 189 458 0 NA NA NA NA NA 312 564 0 NA NA NA NA NA 1663 4736 432 NA NA NA NA NA 618 1852 438 NA NA NA NA
1491944400.0 136.733 NA 177 76 0 NA NA NA NA NA 273 133 0 NA NA NA NA NA 611 172 87 NA NA NA NA NA 620 156 99 NA NA NA NA
1491944400.0 136.734 NA 199 434 0 NA NA NA NA NA 313 530 0 NA NA NA NA NA 2708 5927 459 NA NA NA NA NA 970 1948 467 NA NA NA NA
1491944400.0 136.735 NA 171 357 0 NA NA NA NA NA 270 446 0 NA NA NA NA NA 669 1098 342 NA NA NA NA NA 408 656 348 NA NA NA NA
1491944400.0 136.736 NA 203 456 0 NA NA NA NA NA 329 554 0 NA NA NA NA NA 4002 9394 441 NA NA NA NA NA 1340 3270 452 NA NA NA NA
1491944400.0 136.737 NA 215 473 0 NA NA NA NA NA 331 583 0 NA NA NA NA NA 4788 10486 428 NA NA NA NA NA 1763 3321 437 NA NA NA NA
1491944400.0 136.738 NA 211 449 0 NA NA NA NA NA 320 552 0 NA NA NA NA NA 4511 10166 415 NA NA NA NA NA 1520 3109 421 NA NA NA NA
1491944400.0 136.739 NA 208 468 0 NA NA NA NA NA 333 566 0 NA NA NA NA NA 6346 12544 464 NA NA NA NA NA 2136 4840 469 NA NA NA NA
1491944400.0 136.74 NA 220 481 0 NA NA NA NA NA 336 592 0 NA NA NA NA NA 5170 10689 419 NA NA NA NA NA 1832 3370 426 NA NA NA NA
1491944400.0 136.741 NA 209 452 0 NA NA NA NA NA 336 560 0 NA NA NA NA NA 5416 10983 467 NA NA NA NA NA 1659 3522 495 NA NA NA NA
1491944400.0 136.742 NA 205 443 0 NA NA NA NA NA 327 552 0 NA NA NA NA NA 3909 9684 421 NA NA NA NA NA 1188 2957 428 NA NA NA NA
1491944400.0 136.743 NA 201 444 0 NA NA NA NA NA 323 550 0 NA NA NA NA NA 4053 8946 449 NA NA NA NA NA 1424 2701 468 NA NA NA NA
1491944400.0 136.744 NA 207 450 0 NA NA NA NA NA 340 564 0 NA NA NA NA NA 5331 10904 471 NA NA NA NA NA 1653 3254 488 NA NA NA NA
1491944400.0 136.745 NA 204 446 0 NA NA NA NA NA 314 540 0 NA NA NA NA NA 2880 8255 441 NA NA NA NA NA 927 2942 457 NA NA NA NA
1491944400.0 136.746 NA 208 451 0 NA NA NA NA NA 323 555 0 NA NA NA NA NA 4674 10511 507 NA NA NA NA NA 1427 3219 516 NA NA NA NA
1491944400.0 136.747 NA 197 452 0 NA NA NA NA NA 327 561 0 NA NA NA NA NA 3874 9276 440 NA NA NA NA NA 1313 3134 449 NA NA NA NA
1491944400.0 136.748 NA 204 459 0 NA NA NA NA NA 329 574 0 NA NA NA NA NA 4505 10256 458 NA NA NA NA NA 1364 3212 473 NA NA NA NA
1491944400.0 136.749 NA 207 453 0 NA NA NA NA NA 330 562 0 NA NA NA NA NA 5074 11366 467 NA NA NA NA NA 1867 4565 475 NA NA NA NA
1491944400.0 136.75 NA 211 464 0 NA NA NA NA NA 342 574 0 NA NA NA NA NA 6867 13103 463 NA NA NA NA NA 1986 3985 475 NA NA NA NA
1491944400.0 136.751 NA 215 478 0 NA NA NA NA NA 337 596 0 NA NA NA NA NA 5824 13094 446 NA NA NA NA NA 1888 4050 451 NA NA NA NA
1491944400.0 136.752 NA 218 456 0 NA NA NA NA NA 330 552 0 NA NA NA NA NA 4988 11016 465 NA NA NA NA NA 1919 4527 472 NA NA NA NA
1491944400.0 136.753 NA 207 454 0 NA NA NA NA NA 322 554 0 NA NA NA NA NA 4214 10899 466 NA NA NA NA NA 1302 3710 474 NA NA NA NA
1491944400.0 136.754 NA 205 453 0 NA NA NA NA NA 326 558 0 NA NA NA NA NA 3623 8298 438 NA NA NA NA NA 1151 2684 444 NA NA NA NA
1491944400.0 136.755 NA 205 457 0 NA NA NA NA NA 330 562 0 NA NA NA NA NA 5153 11792 459 NA NA NA NA NA 1569 3592 467 NA NA NA NA
1491944400.0 136.756 NA 200 437 0 NA NA NA NA NA 314 541 0 NA NA NA NA NA 2804 6830 423 NA NA NA NA NA 1138 2491 428 NA NA NA NA
1491944400.0 136.757 NA 199 451 0 NA NA NA NA NA 329 557 0 NA NA NA NA NA 4152 9857 480 NA NA NA NA NA 1468 2992 504 NA NA NA NA
1491944400.0 136.758 NA 222 459 0 NA NA NA NA NA 336 574 0 NA NA NA NA NA 5964 12369 464 NA NA NA NA NA 1875 3849 475 NA NA NA NA
1491944400.0 136.759 NA 214 489 0 NA NA NA NA NA 342 604 0 NA NA NA NA NA 5660 14513 493 NA NA NA NA NA 1635 4393 512 NA NA NA NA
1491944400.0 136.76 NA 217 468 0 NA NA NA NA NA 358 588 0 NA NA NA NA NA 7162 16009 472 NA NA NA NA NA 2107 4687 481 NA NA NA NA
1491944400.0 136.761 NA 219 480 0 NA NA NA NA NA 348 598 0 NA NA NA NA NA 8041 17380 469 NA NA NA NA NA 2284 5137 478 NA NA NA NA
1491944400.0 136.762 NA 237 505 0 NA NA NA NA NA 385 617 0 NA NA NA NA NA 8639 20724 473 NA NA NA NA NA 2512 6534 483 NA NA NA NA
1491944400.0 136.763 NA 223 464 0 NA NA NA NA NA 347 585 0 NA NA NA NA NA 6846 15615 479 NA NA NA NA NA 2025 4603 521 NA NA NA NA
1491944400.0 136.764 NA 225 465 0 NA NA NA NA NA 341 583 0 NA NA NA NA NA 7502 14872 463 NA NA NA NA NA 2458 4443 471 NA NA NA NA
1491944400.0 136.765 NA 218 464 0 NA NA NA NA NA 331 577 0 NA NA NA NA NA 4404 12667 451 NA NA NA NA NA 1537 3893 459 NA NA NA NA
1491944400.0 136.766 NA 214 467 0 NA NA NA NA NA 348 575 0 NA NA NA NA NA 6291 15062 465 NA NA NA NA NA 2119 4987 485 NA NA NA NA
1491944400.0 136.767 NA 208 453 0 NA NA NA NA NA 316 561 0 NA NA NA NA NA 3042 10905 471 NA NA NA NA NA 1059 3409 483 NA NA NA NA
1491944400.0 136.768 NA 212 458 0 NA NA NA NA NA 346 571 0 NA NA NA NA NA 6133 13818 458 NA NA NA NA NA 1831 4024 484 NA NA NA NA
1491944400.0 136.769 NA 201 447 0 NA NA NA NA NA 320 554 0 NA NA NA NA NA 3625 8660 433 NA NA NA NA NA 1104 2912 496 NA NA NA NA
1491944400.0 136.77 NA 199 456 0 NA NA NA NA NA 319 568 0 NA NA NA NA NA 4467 10282 436 NA NA NA NA NA 1513 3379 441 NA NA NA NA
1491944400.0 136.771 NA 208 442 0 NA NA NA NA NA 321 546 0 NA NA NA NA NA 3889 8742 450 NA NA NA NA NA 1361 2640 457 NA NA NA NA
1491944400.0 136.772 NA 213 455 0 NA NA NA NA NA 326 561 0 NA NA NA NA NA 6248 12020 442 NA NA NA NA NA 2096 3651 449 NA NA NA NA
1491944400.0 136.773 NA 207 463 0 NA NA NA NA NA 322 579 0 NA NA NA NA NA 5154 10032 457 NA NA NA NA NA 1639 3246 463 NA NA NA NA
1491944400.0 136.774 NA 207 449 0 NA NA NA NA NA 324 559 0 NA NA NA NA NA 4633 9525 448 NA NA NA NA NA 1403 2963 473 NA NA NA NA
1491944400.0 136.775 NA 197 444 0 NA NA NA NA NA 313 548 0 NA NA NA NA NA 4039 9345 436 NA NA NA NA NA 1282 2899 682 NA NA NA NA
1491944400.0 136.776 NA 195 444 0 NA NA NA NA NA 303 541 0 NA NA NA NA NA 3237 8263 434 NA NA NA NA NA 1018 2575 440 NA NA NA NA
1491944400.0 136.777 NA 205 454 0 NA NA NA NA NA 326 552 0 NA NA NA NA NA 4612 9725 418 NA NA NA NA NA 1402 2892 424 NA NA NA NA
1491944400.0 136.779 NA 200 445 0 NA NA NA NA NA 319 547 0 NA NA NA NA NA 4214 9253 444 NA NA NA NA NA 1368 2763 449 NA NA NA NA
1491944400.0 1360.0 83 197 490 0 NA NA NA NA 210 325 596 0 NA NA NA NA 3167 323 611 693 NA NA NA NA 2145 293 564 701 NA NA NA NA
