Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1491944400.0 1.0 76 89 147 NA NA NA NA NA 172 207 223 NA NA NA NA NA 1634 307 218 NA NA NA NA NA 748 196 201 NA NA NA NA NA
1491944400.0 1001.0 NA 366 200 0 0 0 0 0 NA 475 263 0 0 0 0 0 NA 1403 310 4 17 237 16 257 NA 691 310 7 26 239 31 259
1491944400.0 10023.0 NA 203 514 90 0 NA NA NA NA 308 671 140 0 NA NA NA NA 478 2465 89 757 NA NA NA NA 394 2429 114 772 NA NA NA
1491944400.0 10024.0 NA 228 528 92 0 NA NA NA NA 343 687 152 0 NA NA NA NA 597 2621 104 812 NA NA NA NA 415 2412 127 820 NA NA NA
1491944400.0 10024.2 NA 209 542 0 NA NA NA NA NA 350 687 0 NA NA NA NA NA 615 2677 782 NA NA NA NA NA 443 2469 789 NA NA NA NA
1491944400.0 10024.4 NA 221 534 0 NA NA NA NA NA 347 688 0 NA NA NA NA NA 575 2489 802 NA NA NA NA NA 446 2291 810 NA NA NA NA
1491944400.0 10024.5 NA 213 313 0 NA NA NA NA NA 347 451 0 NA NA NA NA NA 592 401 327 NA NA NA NA NA 439 346 336 NA NA NA NA
1491944400.0 10024.6 NA 221 529 0 NA NA NA NA NA 338 680 0 NA NA NA NA NA 551 2592 761 NA NA NA NA NA 437 2401 784 NA NA NA NA
1491944400.0 10025.0 NA 203 519 89 0 NA NA NA NA 344 687 141 0 NA NA NA NA 501 2399 91 794 NA NA NA NA 365 2327 118 805 NA NA NA
1491944400.0 10026.0 NA 231 537 98 0 NA NA NA NA 346 694 152 0 NA NA NA NA 628 2817 123 786 NA NA NA NA 463 2533 155 804 NA NA NA
