Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1491987600.0 10024.2 NA 221 407 0 NA NA 331 659 0 NA NA 814 3922 1495 NA NA 749 4057 1514 NA
1491987600.0 10224.0 NA 328 767 0 NA NA 488 976 0 NA NA 2725 4817 1035 NA NA 4003 3527 1046 NA
1491987600.0 10825.0 76 216 535 90 0 126 332 672 128 0 3343 554 2790 104 1149 1518 394 2890 157 1162
1491987600.0 1303.0 86 199 195 NA NA 143 297 283 NA NA 6784 603 573 NA NA 2420 494 384 NA NA
1491987600.0 1311.0 NA 188 477 0 61 NA 324 585 0 106 NA 395 554 865 54 NA 495 743 1186 149
1491987600.0 1325.0 NA 210 506 0 84 NA 339 598 0 122 NA 534 773 794 85 NA 371 590 828 120
1491987600.0 1336.0 NA 216 499 0 NA NA 339 605 0 NA NA 804 1301 816 NA NA 445 723 908 NA
1491987600.0 136.721 NA 202 429 0 NA NA 303 516 0 NA NA 2196 5327 504 NA NA 837 2203 511 NA
1491987600.0 136.723 NA 203 435 0 NA NA 295 527 0 NA NA 2262 5553 495 NA NA 793 1847 505 NA
1491987600.0 136.729 NA 202 441 0 NA NA 297 528 0 NA NA 2438 6148 520 NA NA 1103 1992 528 NA
1491987600.0 136.737 NA 217 443 0 NA NA 318 582 0 NA NA 7936 18017 701 NA NA 2545 5622 1032 NA
1491987600.0 136.759 NA 222 481 0 NA NA 328 602 0 NA NA 5930 15216 536 NA NA 2100 4685 547 NA
1491987600.0 136.775 NA 209 459 0 NA NA 301 551 0 NA NA 4192 9928 534 NA NA 1709 3387 562 NA
1491987600.0 1361.0 87 199 500 0 NA 200 328 594 0 NA 3728 458 672 775 NA 2258 324 571 781 NA
1491987600.0 1364.0 NA 188 492 0 NA NA 317 584 0 NA NA 427 604 757 NA NA 339 561 782 NA
1491987600.0 13992501.0 NA 304 727 0 NA NA 469 920 0 NA NA 2345 2656 814 NA NA 1607 1387 826 NA
1491987600.0 21253.0 101 298 384 0 NA 150 393 471 0 NA 19471 2979 2181 1587 NA 6403 2273 1918 1594 NA
1491987600.0 23253.0 135 335 396 0 NA 199 438 494 0 NA 22969 3180 2218 1606 NA 7403 2320 1920 1614 NA
1491987600.0 25204.0 NA 313 631 0 NA NA 439 877 0 NA NA 3280 4323 1219 NA NA 2533 2642 1324 NA
1491987600.0 25205.0 NA 313 685 0 NA NA 433 908 0 NA NA 2263 2572 790 NA NA 1475 1457 797 NA
1491987600.0 25212.0 84 298 713 0 NA 197 457 883 0 NA 3914 2060 2261 796 NA 3242 966 1169 802 NA
1491987600.0 500200.0 NA 190 451 0 NA NA 368 556 0 NA NA 3287 1685 298 NA NA 1437 1112 317 NA
1491987600.0 50202.0 NA 170 548 0 NA NA 325 680 0 NA NA 1220 2236 301 NA NA 1016 1246 330 NA
1491987600.0 7.4 43 0 0 0 0 86 0 0 0 0 334 202 2003 33 361 439 381 2165 48 383
