Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1491944400.0 136.749 NA 216 461 0 NA NA 337 580 0 NA NA 4605 10675 463 NA NA 1344 3363 469 NA
1491944400.0 136.75 NA 224 468 0 NA NA 334 583 0 NA NA 6917 12910 472 NA NA 2052 3894 479 NA
1491944400.0 136.751 NA 211 482 0 NA NA 338 621 0 NA NA 5941 13400 487 NA NA 1870 3930 495 NA
1491944400.0 136.753 NA 212 465 0 NA NA 329 572 0 NA NA 3900 9921 457 NA NA 1184 3094 464 NA
1491944400.0 136.754 NA 208 459 0 NA NA 328 570 0 NA NA 3617 8192 463 NA NA 1146 2572 470 NA
1491944400.0 136.755 NA 214 459 0 NA NA 335 579 0 NA NA 4787 11399 476 NA NA 1749 4310 641 NA
1491944400.0 136.756 NA 200 417 0 NA NA 313 552 0 NA NA 2602 7149 434 NA NA 903 2520 441 NA
1491944400.0 136.757 NA 201 463 0 NA NA 323 570 0 NA NA 3896 9300 470 NA NA 1237 2847 490 NA
1491944400.0 136.758 NA 209 471 0 NA NA 333 596 0 NA NA 5914 12549 494 NA NA 1900 3687 502 NA
1491944400.0 136.759 NA 213 480 0 NA NA 348 619 0 NA NA 5656 14210 496 NA NA 1670 4145 506 NA
1491944400.0 136.76 NA 227 491 0 NA NA 362 614 0 NA NA 7045 15876 486 NA NA 2205 4568 492 NA
1491944400.0 136.761 NA 217 480 0 NA NA 345 614 0 NA NA 7942 17859 495 NA NA 2530 5192 507 NA
1491944400.0 136.762 NA 254 478 0 NA NA 378 650 0 NA NA 8313 20847 484 NA NA 2312 6298 490 NA
1491944400.0 136.763 NA 214 476 0 NA NA 349 613 0 NA NA 6820 15651 490 NA NA 2001 4841 496 NA
1491944400.0 136.764 NA 226 481 0 NA NA 345 600 0 NA NA 7666 15105 486 NA NA 2759 4449 501 NA
1491944400.0 136.765 NA 222 460 0 NA NA 334 592 0 NA NA 4204 11996 430 NA NA 1935 4456 436 NA
1491944400.0 136.766 NA 219 469 0 NA NA 346 599 0 NA NA 6211 14794 487 NA NA 2056 4332 497 NA
1491944400.0 136.767 NA 202 451 0 NA NA 321 584 0 NA NA 2869 9984 443 NA NA 1156 2934 450 NA
1491944400.0 136.768 NA 215 478 0 NA NA 340 589 0 NA NA 6025 14112 503 NA NA 1742 4189 531 NA
1491944400.0 136.77 NA 206 470 0 NA NA 318 583 0 NA NA 4059 9550 432 NA NA 1277 2937 439 NA
1491944400.0 136.771 NA 217 448 0 NA NA 325 563 0 NA NA 3929 8886 419 NA NA 1372 2661 427 NA
1491944400.0 136.772 NA 207 468 0 NA NA 332 575 0 NA NA 5609 10803 451 NA NA 1820 3729 458 NA
1491944400.0 136.773 NA 214 484 0 NA NA 330 599 0 NA NA 4608 9701 474 NA NA 1450 3068 480 NA
1491944400.0 136.774 NA 206 458 0 NA NA 334 568 0 NA NA 4480 9512 449 NA NA 1522 2889 456 NA
1491944400.0 136.775 NA 214 454 0 NA NA 314 559 0 NA NA 3873 8890 428 NA NA 1752 3790 436 NA
1491944400.0 136.778 NA 189 440 0 NA NA 298 559 0 NA NA 1858 6076 455 NA NA 710 2007 463 NA
1491944400.0 136.779 NA 211 452 0 NA NA 322 559 0 NA NA 3915 9109 441 NA NA 1863 3771 452 NA
1491944400.0 1360.0 90 208 495 0 NA 211 464 611 0 NA 2826 361 662 723 NA 1915 252 619 744 NA
1491944400.0 1361.0 82 204 503 0 NA 210 463 605 0 NA 2886 429 726 706 NA 2028 282 627 713 NA
1491944400.0 139901.0 NA 208 471 0 NA NA 475 608 0 NA NA 537 943 880 NA NA 379 1107 889 NA
1491944400.0 13992501.0 NA 310 734 0 NA NA 502 941 0 NA NA 2629 2867 750 NA NA 1784 1447 765 NA
1491944400.0 13992502.0 NA 296 701 0 NA NA 513 933 0 NA NA 2400 2750 782 NA NA 1706 1363 791 NA
1491944400.0 21221.0 67 292 390 0 NA 126 371 484 0 NA 1849 1739 1495 415 NA 1038 851 842 422 NA
1491944400.0 21234.0 78 309 402 0 NA 142 377 494 0 NA 5520 1698 1063 440 NA 2225 863 739 447 NA
1491944400.0 21234.1 78 301 318 0 NA 141 368 398 0 NA 5449 1711 838 286 NA 2053 852 587 291 NA
1491944400.0 21246.0 81 299 394 0 NA 144 375 487 0 NA 5078 1732 1128 419 NA 2163 847 775 425 NA
1491944400.0 23221.0 67 320 396 0 NA 126 395 483 0 NA 1891 1785 1499 426 NA 1053 900 847 433 NA
1491944400.0 23234.0 96 337 397 0 NA 165 409 496 0 NA 5707 1750 1172 449 NA 2177 876 798 456 NA
1491944400.0 23246.0 88 331 400 0 NA 149 401 490 0 NA 5408 1700 1219 444 NA 2309 865 775 452 NA
1491944400.0 23253.0 127 350 410 0 NA 205 420 518 0 NA 15935 1961 1260 464 NA 5136 980 816 472 NA
1491944400.0 24034.0 86 302 397 0 NA 142 368 493 0 NA 5375 1738 1162 429 NA 2221 852 777 435 NA
1491944400.0 24434.0 80 300 403 0 NA 141 381 491 0 NA 5694 1723 1173 454 NA 2424 872 759 461 NA
1491944400.0 24834.0 84 312 396 0 NA 142 384 493 0 NA 5234 1781 1040 415 NA 2059 869 717 420 NA
1491944400.0 250207.0 NA 362 581 0 NA NA 615 710 0 NA NA 8132 1706 750 NA NA 3015 840 760 NA
1491944400.0 25200.0 NA 284 669 0 NA NA 518 906 0 NA NA 2457 2623 771 NA NA 1572 1559 784 NA
1491944400.0 25202.0 NA 323 722 0 NA NA 507 940 0 NA NA 2296 2848 783 NA NA 1676 1393 795 NA
1491944400.0 25203.0 NA 299 714 0 NA NA 509 933 0 NA NA 2221 2553 783 NA NA 1611 1429 792 NA
1491944400.0 25205.0 NA 295 712 0 NA NA 500 919 0 NA NA 2341 2501 780 NA NA 1977 1402 786 NA
1491944400.0 25206.0 NA 317 720 0 NA NA 506 962 0 NA NA 2864 3514 786 NA NA 1642 1838 792 NA
1491944400.0 25207.0 NA 292 739 0 NA NA 488 922 0 NA NA 2022 2348 751 NA NA 943 1168 759 NA
1491944400.0 25208.0 NA 315 786 0 NA NA 516 991 0 NA NA 3057 3528 781 NA NA 1769 1445 787 NA
1491944400.0 25209.0 NA 317 709 0 NA NA 513 931 0 NA NA 2203 2612 760 NA NA 1257 1344 766 NA
1491944400.0 25210.0 81 303 690 0 NA 209 483 845 0 NA 2612 997 1188 725 NA 2134 887 714 734 NA
1491944400.0 25211.0 85 294 739 0 NA 210 502 926 0 NA 3464 2432 2528 838 NA 2198 1607 1180 848 NA
1491944400.0 25212.0 81 305 735 0 NA 209 494 940 0 NA 3970 2498 2835 799 NA 3121 1282 1790 808 NA
1491944400.0 25213.0 85 298 737 0 NA 213 495 921 0 NA 4368 2402 2842 834 NA 3195 1965 1761 872 NA
1491944400.0 25214.0 NA 314 744 0 NA NA 501 929 0 NA NA 2353 2586 764 NA NA 1542 1413 770 NA
1491944400.0 7.3 63 178 234 82 0 118 466 347 134 0 947 467 2177 77 303 902 292 2119 104 307
