Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1491944400.0 10023.0 NA 200 536 92 0 NA 477 689 152 0 NA 690 2589 178 1174 NA 476 2489 212 1182
1491944400.0 10024.0 NA 232 554 111 0 NA 477 713 163 0 NA 694 2849 159 1099 NA 456 2903 178 1117
1491944400.0 10024.4 NA 223 555 0 NA NA 477 694 0 NA NA 935 3077 1251 NA NA 622 2655 1270 NA
1491944400.0 10024.6 NA 223 546 0 NA NA 476 682 0 NA NA 893 3075 1262 NA NA 511 2701 1273 NA
1491944400.0 10025.0 NA 212 545 94 0 NA 476 704 152 0 NA 719 2715 196 1200 NA 442 2538 221 1216
1491944400.0 10042.0 NA 213 542 102 0 NA 474 693 164 0 NA 792 2869 218 1173 NA 496 2667 232 1184
1491944400.0 10224.0 NA 323 800 0 NA NA 529 1012 0 NA NA 3000 6321 1112 NA NA 4328 4637 1121 NA
1491944400.0 10424.0 NA 226 553 0 NA NA 477 711 0 NA NA 700 2962 1094 NA NA 622 3021 1110 NA
1491944400.0 10825.0 70 225 543 92 0 136 465 701 152 0 3252 635 2979 157 1056 1375 368 3056 196 1086
1491944400.0 1303.0 81 189 186 NA NA 153 462 294 NA NA 9849 772 693 NA NA 3737 512 408 NA NA
1491944400.0 1311.0 NA 191 505 0 64 NA 474 625 0 122 NA 437 668 931 62 NA 317 608 956 100
1491944400.0 1325.0 NA 211 518 0 87 NA 475 611 0 139 NA 601 917 869 105 NA 359 650 891 139
1491944400.0 1336.0 NA 229 512 0 NA NA 473 610 0 NA NA 857 1789 886 NA NA 438 919 894 NA
1491944400.0 1337.0 NA 226 520 0 NA NA 475 622 0 NA NA 743 1217 870 NA NA 394 746 880 NA
1491944400.0 134.705 NA 36 413 0 NA NA 105 528 0 NA NA 122 5748 380 NA NA 73 2395 390 NA
1491944400.0 134.709 NA 40 574 0 NA NA 105 672 0 NA NA 119 6117 379 NA NA 89 2212 386 NA
1491944400.0 134.803 NA 29 401 0 NA NA 101 508 0 NA NA 132 6219 460 NA NA 125 2041 481 NA
1491944400.0 134.804 NA 36 410 0 NA NA 101 512 0 NA NA 149 6954 355 NA NA 88 2314 362 NA
1491944400.0 134.806 NA 31 409 0 NA NA 103 522 0 NA NA 143 6372 365 NA NA 89 2372 373 NA
1491944400.0 134.807 NA 82 438 0 NA NA 175 551 0 NA NA 453 7081 428 NA NA 311 2505 448 NA
1491944400.0 134.808 NA 91 445 0 NA NA 178 552 0 NA NA 659 6221 381 NA NA 957 2381 395 NA
1491944400.0 134.809 NA 35 397 0 NA NA 101 499 0 NA NA 128 6433 373 NA NA 80 2505 382 NA
1491944400.0 1356.0 82 213 502 0 105 151 463 608 0 178 3343 554 1376 858 206 1388 333 7866 870 179
1491944400.0 136.721 NA 201 442 0 NA NA 305 533 0 NA NA 3519 8014 528 NA NA 1769 2932 548 NA
1491944400.0 136.722 NA 194 451 0 NA NA 312 574 0 NA NA 3512 8600 499 NA NA 1141 2853 507 NA
1491944400.0 136.723 NA 201 441 0 NA NA 308 532 0 NA NA 3565 8503 534 NA NA 1725 3012 551 NA
1491944400.0 136.725 NA 206 457 0 NA NA 315 563 0 NA NA 3981 9250 530 NA NA 1824 3128 538 NA
1491944400.0 136.726 NA 197 443 0 NA NA 313 542 0 NA NA 4650 9413 602 NA NA 1589 2972 611 NA
1491944400.0 136.727 NA 241 465 0 NA NA 372 574 0 NA NA 3285 6802 583 NA NA 2213 3261 598 NA
1491944400.0 136.728 NA 264 471 0 NA NA 358 572 0 NA NA 24403 7092 567 NA NA 25352 2350 593 NA
1491944400.0 136.731 NA 196 452 0 NA NA 316 547 0 NA NA 3796 8966 507 NA NA 1284 2904 516 NA
1491944400.0 136.732 NA 188 432 0 NA NA 309 534 0 NA NA 2442 6128 525 NA NA 927 2150 536 NA
1491944400.0 136.7321 NA 201 468 0 NA NA 313 558 0 NA NA 2576 7238 521 NA NA 1476 2557 531 NA
1491944400.0 136.734 NA 192 441 0 NA NA 317 543 0 NA NA 4643 9223 648 NA NA 1525 2864 656 NA
1491944400.0 136.735 NA 175 371 0 NA NA 273 449 0 NA NA 741 1716 457 NA NA 436 1310 470 NA
1491944400.0 136.736 NA 213 466 0 NA NA 328 572 0 NA NA 4544 10494 585 NA NA 1470 3362 595 NA
1491944400.0 136.741 NA 212 465 0 NA NA 340 578 0 NA NA 5499 11940 588 NA NA 1649 3736 602 NA
1491944400.0 136.743 NA 202 443 0 NA NA 322 567 0 NA NA 7204 14854 514 NA NA 3048 12730 543 NA
1491944400.0 136.745 NA 203 449 0 NA NA 314 553 0 NA NA 4500 10956 526 NA NA 1917 3531 542 NA
1491944400.0 136.747 NA 207 438 0 NA NA 333 575 0 NA NA 7027 14935 524 NA NA 3063 10998 563 NA
1491944400.0 136.749 NA 209 456 0 NA NA 328 578 0 NA NA 5248 11984 550 NA NA 1608 3890 559 NA
1491944400.0 136.752 NA 216 455 0 NA NA 331 568 0 NA NA 5307 12100 564 NA NA 1642 3903 576 NA
1491944400.0 136.753 NA 210 456 0 NA NA 324 567 0 NA NA 4399 11830 562 NA NA 1398 3867 574 NA
1491944400.0 136.76 NA 214 477 0 NA NA 357 610 0 NA NA 7687 18470 534 NA NA 2217 5778 541 NA
1491944400.0 136.762 NA 250 503 0 NA NA 378 650 0 NA NA 9979 21256 540 NA NA 3283 6130 547 NA
1491944400.0 136.763 NA 229 479 0 NA NA 343 607 0 NA NA 8354 16379 536 NA NA 2859 4656 545 NA
1491944400.0 136.764 NA 218 478 0 NA NA 350 602 0 NA NA 8097 16970 568 NA NA 2684 5345 606 NA
1491944400.0 136.765 NA 222 464 0 NA NA 338 592 0 NA NA 5039 14133 541 NA NA 2018 4964 550 NA
1491944400.0 136.767 NA 211 443 0 NA NA 324 576 0 NA NA 5247 16012 549 NA NA 2561 13267 571 NA
