Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1491944400.0 10023.0 NA 197 547 100 0 NA 476 697 139 0 NA 411 2397 133 1037 NA 313 2372 179 1047
1491944400.0 10024.0 NA 235 569 111 0 NA 476 706 151 0 NA 575 2688 158 1097 NA 418 2435 215 1105
1491944400.0 10024.6 NA 236 556 0 NA NA 467 706 0 NA NA 690 2839 1085 NA NA 669 2535 1091 NA
1491944400.0 10224.0 NA 301 783 0 NA NA 537 1012 0 NA NA 3073 5321 1330 NA NA 5850 4515 2336 NA
1491944400.0 10225.0 NA 289 771 0 NA NA 522 967 0 NA NA 2766 4784 1257 NA NA 6252 5087 1269 NA
1491944400.0 10424.0 NA 230 561 0 NA NA 471 702 0 NA NA 648 2750 1072 NA NA 637 2498 1081 NA
1491944400.0 1356.0 87 208 512 0 103 142 454 609 0 164 4005 571 1268 1407 198 2016 332 1481 1889 170
1491944400.0 136.721 NA 204 456 0 NA NA 299 530 0 NA NA 2385 5644 532 NA NA 1075 1946 544 NA
1491944400.0 136.728 NA 236 468 0 NA NA 351 569 0 NA NA 3717 7801 580 NA NA 1697 2509 597 NA
1491944400.0 136.729 NA 205 451 0 NA NA 292 543 0 NA NA 4095 10994 945 NA NA 2233 4500 1141 NA
1491944400.0 136.734 NA 208 450 0 NA NA 306 547 0 NA NA 4641 10715 932 NA NA 2409 4312 1114 NA
1491944400.0 136.736 NA 215 459 0 NA NA 326 567 0 NA NA 7064 16992 742 NA NA 3078 6273 750 NA
1491944400.0 136.743 NA 211 463 0 NA NA 313 564 0 NA NA 4218 9800 540 NA NA 1333 2961 549 NA
1491944400.0 136.744 NA 207 466 0 NA NA 323 573 0 NA NA 5373 10810 527 NA NA 1560 3194 674 NA
1491944400.0 136.749 NA 220 478 0 NA NA 327 572 0 NA NA 4860 11118 534 NA NA 1694 3323 543 NA
1491944400.0 136.753 NA 212 467 0 NA NA 318 567 0 NA NA 4090 10640 546 NA NA 1289 3256 553 NA
1491944400.0 136.755 NA 226 473 0 NA NA 324 575 0 NA NA 5108 11449 519 NA NA 1785 3422 525 NA
1491944400.0 136.756 NA 204 450 0 NA NA 302 550 0 NA NA 4552 12461 841 NA NA 2051 4989 968 NA
1491944400.0 136.757 NA 210 465 0 NA NA 318 566 0 NA NA 7011 17128 559 NA NA 3038 6181 565 NA
1491944400.0 136.76 NA 224 489 0 NA NA 347 604 0 NA NA 8499 18807 583 NA NA 2383 6126 591 NA
1491944400.0 136.761 NA 219 477 0 NA NA 343 613 0 NA NA 9563 21435 572 NA NA 2892 7110 581 NA
1491944400.0 136.762 NA 253 504 0 NA NA 368 634 0 NA NA 10371 24424 598 NA NA 3125 6739 624 NA
1491944400.0 136.763 NA 221 488 0 NA NA 333 604 0 NA NA 8355 18686 577 NA NA 2377 5431 584 NA
1491944400.0 136.764 NA 230 474 0 NA NA 337 597 0 NA NA 9423 17831 563 NA NA 3310 5127 576 NA
1491944400.0 136.769 NA 204 464 0 NA NA 313 563 0 NA NA 6566 16315 556 NA NA 2848 6092 562 NA
1491944400.0 136.77 NA 213 475 0 NA NA 307 585 0 NA NA 7298 17374 661 NA NA 3010 6310 671 NA
1491944400.0 136.773 NA 208 487 0 NA NA 322 588 0 NA NA 4702 10062 524 NA NA 1456 3136 533 NA
1491944400.0 136.775 NA 210 462 0 NA NA 310 551 0 NA NA 6852 16059 537 NA NA 3071 6013 545 NA
1491944400.0 136.776 NA 208 458 0 NA NA 296 545 0 NA NA 5969 15214 583 NA NA 2777 5764 595 NA
1491944400.0 136.777 NA 209 477 0 NA NA 319 560 0 NA NA 4869 10286 503 NA NA 1525 3105 511 NA
1491944400.0 1360.0 77 197 502 0 NA 187 459 607 0 NA 3245 424 1036 1078 NA 3574 294 1407 1177 NA
1491944400.0 1362.0 88 205 510 0 NA 197 467 600 0 NA 4047 560 671 800 NA 3505 373 534 875 NA
1491944400.0 13992502.0 NA 319 759 0 NA NA 499 942 0 NA NA 3567 4341 1528 NA NA 2150 2688 1762 NA
1491944400.0 21253.0 99 312 399 0 NA 147 372 487 0 NA 10923 1668 1201 450 NA 3564 871 870 459 NA
1491944400.0 24834.0 87 307 404 0 NA 135 371 480 0 NA 5489 1693 1127 430 NA 2162 803 934 438 NA
1491944400.0 250203.0 NA 382 593 0 NA NA 623 708 0 NA NA 10210 1930 844 NA NA 3559 995 856 NA
1491944400.0 250206.0 NA 380 617 0 NA NA 626 737 0 NA NA 9132 2239 836 NA NA 3691 999 846 NA
1491944400.0 250207.0 NA 368 584 0 NA NA 638 705 0 NA NA 11058 2954 1031 NA NA 4454 1607 1041 NA
1491944400.0 25213.0 88 321 724 0 NA 197 504 919 0 NA 4853 2458 3249 1022 NA 3208 1501 2427 1101 NA
1491944400.0 25214.0 NA 313 737 0 NA NA 498 914 0 NA NA 3902 4644 1482 NA NA 2466 2616 1738 NA
