Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1491944400.0 128.0 54 82 361 NA NA NA NA 104 358 454 NA NA NA NA 428 367 404 NA NA NA NA 367 167 375 NA NA NA NA
1491944400.0 129.0 54 79 359 NA NA NA NA 105 358 471 NA NA NA NA 438 322 446 NA NA NA NA 373 148 420 NA NA NA NA
1491944400.0 13.0 NA 92 371 0 NA NA NA NA 378 466 0 NA NA NA NA 299 837 333 NA NA NA NA 169 497 343 NA NA NA
1491944400.0 130.0 57 79 358 NA NA NA NA 109 365 456 NA NA NA NA 575 338 401 NA NA NA NA 401 147 383 NA NA NA NA
1491944400.0 1303.0 87 198 204 NA NA NA NA 144 461 285 NA NA NA NA 6911 598 573 NA NA NA NA 2551 338 348 NA NA NA NA
1491944400.0 1307.0 NA 166 196 49 0 NA NA NA 464 278 93 0 NA NA NA 556 580 35 317 NA NA NA 347 549 43 323 NA NA
1491944400.0 1308.0 NA 168 190 55 0 NA NA NA 468 265 93 0 NA NA NA 605 438 37 327 NA NA NA 390 395 50 332 NA NA
1491944400.0 1309.0 NA 226 530 0 NA NA NA NA 475 602 0 NA NA NA NA 638 877 817 NA NA NA NA 334 554 823 NA NA NA
1491944400.0 131.0 60 82 362 NA NA NA NA 118 358 441 NA NA NA NA 1211 380 488 NA NA NA NA 589 170 447 NA NA NA NA
1491944400.0 1310.0 NA 210 514 0 NA NA NA NA 476 603 0 NA NA NA NA 483 726 793 NA NA NA NA 298 520 800 NA NA NA
1491944400.0 1312.0 NA 209 509 0 NA NA NA NA 473 605 0 NA NA NA NA 461 769 784 NA NA NA NA 273 575 791 NA NA NA
1491944400.0 1313.0 NA 214 520 0 NA NA NA NA 467 600 0 NA NA NA NA 599 1175 837 NA NA NA NA 411 703 844 NA NA NA
1491944400.0 1316.0 NA 204 499 0 NA NA NA NA 474 587 0 NA NA NA NA 427 669 753 NA NA NA NA 289 562 760 NA NA NA
1491944400.0 1318.0 NA 191 498 0 NA NA NA NA 474 586 0 NA NA NA NA 407 599 796 NA NA NA NA 292 524 814 NA NA NA
1491944400.0 1324.0 NA 221 472 0 NA NA NA NA 475 609 0 NA NA NA NA 582 822 813 NA NA NA NA 512 1064 837 NA NA NA
1491944400.0 1325.0 NA 226 482 0 86 NA NA NA 473 611 0 125 NA NA NA 614 956 818 88 NA NA NA 543 984 851 148 NA NA
1491944400.0 1325.2 NA 221 516 0 NA NA NA NA 473 608 0 NA NA NA NA 591 824 856 NA NA NA NA 335 561 863 NA NA NA
1491944400.0 1325.3 NA 220 295 0 NA NA NA NA 465 362 0 NA NA NA NA 887 393 453 NA NA NA NA 522 322 459 NA NA NA
1491944400.0 1325.4 NA 228 490 0 NA NA NA NA 475 611 0 NA NA NA NA 620 994 826 NA NA NA NA 545 981 858 NA NA NA
1491944400.0 1327.0 NA 217 505 0 NA NA NA NA 480 605 0 NA NA NA NA 470 679 804 NA NA NA NA 281 530 810 NA NA NA
1491944400.0 1329.0 NA 213 514 0 NA NA NA NA 474 600 0 NA NA NA NA 524 695 814 NA NA NA NA 307 537 822 NA NA NA
1491944400.0 1330.0 NA 210 513 0 NA NA NA NA 466 597 0 NA NA NA NA 580 685 820 NA NA NA NA 326 519 832 NA NA NA
1491944400.0 1332.0 NA 211 510 0 NA NA NA NA 478 607 0 NA NA NA NA 488 753 784 NA NA NA NA 293 647 792 NA NA NA
1491944400.0 1334.0 NA 221 511 0 NA NA NA NA 476 614 0 NA NA NA NA 488 711 821 NA NA NA NA 283 540 828 NA NA NA
1491944400.0 1337.0 NA 234 496 0 NA NA NA NA 473 613 0 NA NA NA NA 805 1184 832 NA NA NA NA 594 1189 856 NA NA NA
1491944400.0 1339.0 NA 231 489 0 NA NA NA NA 472 615 0 NA NA NA NA 632 1154 811 NA NA NA NA 383 982 817 NA NA NA
1491944400.0 134.0 NA 362 33 0 NA NA NA NA 445 76 0 NA NA NA NA 2632 6 6 NA NA NA NA 1035 11 15 NA NA NA
1491944400.0 134.804 NA 37 422 0 NA NA NA NA 88 503 0 NA NA NA NA 149 5273 346 NA NA NA NA 96 1873 353 NA NA NA
1491944400.0 134.807 NA 85 445 0 NA NA NA NA 161 541 0 NA NA NA NA 469 5537 358 NA NA NA NA 343 1837 364 NA NA NA
1491944400.0 134.813 NA 172 68 0 NA NA NA NA 260 114 0 NA NA NA NA 586 92 113 NA NA NA NA 520 398 131 NA NA NA
1491944400.0 1340.0 NA 195 506 0 NA NA NA NA 472 594 0 NA NA NA NA 423 652 862 NA NA NA NA 297 546 880 NA NA NA
1491944400.0 1341.0 NA 230 483 0 NA NA NA NA 475 615 0 NA NA NA NA 715 1092 832 NA NA NA NA 564 1193 853 NA NA NA
1491944400.0 1343.0 NA 226 489 0 NA NA NA NA 470 609 0 NA NA NA NA 530 884 818 NA NA NA NA 358 823 826 NA NA NA
1491944400.0 1345.0 NA 222 512 0 NA NA NA NA 466 593 0 NA NA NA NA 512 711 846 NA NA NA NA 299 530 859 NA NA NA
1491944400.0 1348.0 NA 219 505 0 NA NA NA NA 476 600 0 NA NA NA NA 448 687 849 NA NA NA NA 280 540 856 NA NA NA
1491944400.0 135.1 358 0 97 NA NA NA NA 565 0 147 NA NA NA NA 823 226 175 NA NA NA NA 430 235 161 NA NA NA NA
1491944400.0 135.11 370 0 98 NA NA NA NA 557 0 153 NA NA NA NA 1455 312 264 NA NA NA NA 703 431 218 NA NA NA NA
1491944400.0 135.12 355 0 97 NA NA NA NA 557 0 152 NA NA NA NA 727 200 149 NA NA NA NA 396 206 147 NA NA NA NA
1491944400.0 135.13 441 0 NA NA NA NA NA 680 0 NA NA NA NA NA 683 405 NA NA NA NA NA 367 411 NA NA NA NA NA
1491944400.0 135.2 317 0 92 NA NA NA NA 557 0 147 NA NA NA NA 590 124 129 NA NA NA NA 359 132 313 NA NA NA NA
1491944400.0 135.3 314 0 96 NA NA NA NA 557 0 151 NA NA NA NA 616 119 132 NA NA NA NA 390 125 147 NA NA NA NA
