Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1491944400.0 1320.0 NA 198 496 0 NA NA NA NA NA 468 594 0 NA NA NA NA NA 413 565 694 NA NA NA NA NA 293 483 701 NA NA NA NA
1491944400.0 1321.0 NA 188 497 0 NA NA NA NA NA 473 599 0 NA NA NA NA NA 407 564 731 NA NA NA NA NA 264 475 738 NA NA NA NA
1491944400.0 1322.0 NA 201 457 0 NA NA NA NA NA 472 588 0 NA NA NA NA NA 389 629 687 NA NA NA NA NA 259 726 699 NA NA NA NA
1491944400.0 1323.0 NA 190 491 0 NA NA NA NA NA 480 593 0 NA NA NA NA NA 350 506 700 NA NA NA NA NA 229 454 705 NA NA NA NA
1491944400.0 1324.0 NA 220 513 0 NA NA NA NA NA 477 619 0 NA NA NA NA NA 453 665 732 NA NA NA NA NA 268 495 737 NA NA NA NA
1491944400.0 1325.0 NA 227 525 0 87 NA NA NA NA 477 606 0 124 NA NA NA NA 476 726 757 82 NA NA NA NA 369 510 769 134 NA NA NA
1491944400.0 1325.2 NA 224 504 0 NA NA NA NA NA 473 608 0 NA NA NA NA NA 499 816 754 NA NA NA NA NA 326 911 776 NA NA NA NA
1491944400.0 1325.3 NA 220 292 0 NA NA NA NA NA 467 377 0 NA NA NA NA NA 761 470 467 NA NA NA NA NA 447 391 476 NA NA NA NA
1491944400.0 1326.0 NA 217 495 0 NA NA NA NA NA 472 601 0 NA NA NA NA NA 416 675 736 NA NA NA NA NA 306 794 745 NA NA NA NA
1491944400.0 1327.0 NA 204 512 0 NA NA NA NA NA 475 606 0 NA NA NA NA NA 415 597 750 NA NA NA NA NA 263 474 757 NA NA NA NA
1491944400.0 1328.0 NA 219 509 0 NA NA NA NA NA 472 602 0 NA NA NA NA NA 446 680 768 NA NA NA NA NA 306 502 775 NA NA NA NA
1491944400.0 1329.0 NA 210 511 0 NA NA NA NA NA 472 603 0 NA NA NA NA NA 406 615 730 NA NA NA NA NA 274 528 738 NA NA NA NA
1491944400.0 133.0 84 103 379 NA NA NA NA NA 165 365 478 NA NA NA NA NA 8721 349 859 NA NA NA NA NA 2624 163 586 NA NA NA NA NA
1491944400.0 1330.0 NA 209 503 0 NA NA NA NA NA 480 601 0 NA NA NA NA NA 421 691 719 NA NA NA NA NA 275 651 728 NA NA NA NA
1491944400.0 1331.0 NA 209 497 0 NA NA NA NA NA 481 598 0 NA NA NA NA NA 400 645 728 NA NA NA NA NA 280 762 753 NA NA NA NA
1491944400.0 1332.0 NA 216 505 0 NA NA NA NA NA 473 605 0 NA NA NA NA NA 432 659 723 NA NA NA NA NA 288 614 734 NA NA NA NA
1491944400.0 1333.0 NA 212 496 0 NA NA NA NA NA 475 593 0 NA NA NA NA NA 409 689 724 NA NA NA NA NA 296 797 735 NA NA NA NA
1491944400.0 1334.0 NA 212 504 0 NA NA NA NA NA 465 600 0 NA NA NA NA NA 426 656 736 NA NA NA NA NA 275 614 744 NA NA NA NA
1491944400.0 1335.0 NA 208 501 0 NA NA NA NA NA 474 596 0 NA NA NA NA NA 401 635 722 NA NA NA NA NA 264 647 730 NA NA NA NA
1491944400.0 1336.0 NA 236 516 0 NA NA NA NA NA 474 615 0 NA NA NA NA NA 735 1305 751 NA NA NA NA NA 354 738 761 NA NA NA NA
1491944400.0 1337.0 NA 232 514 0 NA NA NA NA NA 479 618 0 NA NA NA NA NA 628 1029 762 NA NA NA NA NA 328 690 768 NA NA NA NA
1491944400.0 1338.0 NA 222 522 0 NA NA NA NA NA 474 610 0 NA NA NA NA NA 496 760 790 NA NA NA NA NA 297 518 881 NA NA NA NA
1491944400.0 1339.0 NA 222 524 0 NA NA NA NA NA 474 607 0 NA NA NA NA NA 586 909 740 NA NA NA NA NA 308 541 751 NA NA NA NA
1491944400.0 134.702 NA 29 403 0 NA NA NA NA NA 88 488 0 NA NA NA NA NA 109 5114 389 NA NA NA NA NA 71 1779 409 NA NA NA NA
1491944400.0 134.703 NA 32 407 0 NA NA NA NA NA 90 492 0 NA NA NA NA NA 139 5575 437 NA NA NA NA NA 114 1818 458 NA NA NA NA
1491944400.0 134.704 NA 30 404 0 NA NA NA NA NA 89 498 0 NA NA NA NA NA 125 5222 382 NA NA NA NA NA 84 1969 394 NA NA NA NA
1491944400.0 134.705 NA 34 417 0 NA NA NA NA NA 90 516 0 NA NA NA NA NA 128 6016 412 NA NA NA NA NA 115 1984 432 NA NA NA NA
1491944400.0 134.706 NA 37 417 0 NA NA NA NA NA 88 503 0 NA NA NA NA NA 115 5942 392 NA NA NA NA NA 82 1986 403 NA NA NA NA
