Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1491944400.0 134.808 NA 77 254 0 NA NA NA NA NA 231 470 0 NA NA NA NA NA 356 5032 332 NA NA NA NA NA 461 6181 642 NA NA NA NA
1491944400.0 134.81 NA 33 222 0 NA NA NA NA NA 160 433 0 NA NA NA NA NA 85 4550 318 NA NA NA NA NA 117 5053 341 NA NA NA NA
1491944400.0 134.811 NA 32 229 0 NA NA NA NA NA 163 440 0 NA NA NA NA NA 88 4940 321 NA NA NA NA NA 127 5296 394 NA NA NA NA
1491944400.0 134.912 NA 25 215 0 NA NA NA NA NA 160 426 0 NA NA NA NA NA 87 3940 529 NA NA NA NA NA 109 4343 576 NA NA NA NA
1491944400.0 134.99601 NA 33 235 0 NA NA NA NA NA 163 436 0 NA NA NA NA NA 113 9512 510 NA NA NA NA NA 133 10750 747 NA NA NA NA
1491944400.0 134.99603 NA 35 223 0 NA NA NA NA NA 163 433 0 NA NA NA NA NA 106 10159 773 NA NA NA NA NA 131 11106 853 NA NA NA NA
1491944400.0 1340.0 NA 156 242 0 NA NA NA NA NA 361 472 0 NA NA NA NA NA 540 687 1090 NA NA NA NA NA 644 778 1104 NA NA NA NA
1491944400.0 1343.0 NA 168 248 0 NA NA NA NA NA 367 479 0 NA NA NA NA NA 689 918 1246 NA NA NA NA NA 783 1036 1305 NA NA NA NA
1491944400.0 1349.0 NA 164 245 0 NA NA NA NA NA 363 475 0 NA NA NA NA NA 604 740 1280 NA NA NA NA NA 717 881 1365 NA NA NA NA
1491944400.0 1351.0 NA 166 245 0 NA NA NA NA NA 363 475 0 NA NA NA NA NA 583 733 1180 NA NA NA NA NA 678 885 1207 NA NA NA NA
1491944400.0 1353.0 NA 167 245 0 NA NA NA NA NA 364 477 0 NA NA NA NA NA 664 882 1217 NA NA NA NA NA 775 1037 1257 NA NA NA NA
1491944400.0 1354.0 NA 165 245 0 NA NA NA NA NA 361 475 0 NA NA NA NA NA 609 758 1325 NA NA NA NA NA 714 873 1487 NA NA NA NA
1491944400.0 1356.0 57 152 247 0 100 NA NA NA 185 352 489 0 249 NA NA NA 2368 387 533 748 143 NA NA NA 2732 438 915 784 308 NA NA NA
1491944400.0 136.721 NA 160 240 0 NA NA NA NA NA 353 452 0 NA NA NA NA NA 3577 7887 812 NA NA NA NA NA 4171 8880 862 NA NA NA NA
